"Tissue","ALL_Count","ALL_Link","EUR_Count","EUR_Link","weight_id"
"Brain - Cortex",205,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Cortex.tar.gz",183,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Cortex.tar.gz","Brain_Cortex"
"Brain - Frontal Cortex (BA9)",175,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Frontal_Cortex_BA9.tar.gz",157,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Frontal_Cortex_BA9.tar.gz","Brain_Frontal_Cortex_BA9"
"Brain - Hippocampus",165,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Hippocampus.tar.gz",150,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Hippocampus.tar.gz","Brain_Hippocampus"
"Brain - Hypothalamus",170,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Hypothalamus.tar.gz",156,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Hypothalamus.tar.gz","Brain_Hypothalamus"
"Brain - Nucleus accumbens (basal ganglia)",202,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Nucleus_accumbens_basal_ganglia.tar.gz",181,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia.tar.gz","Brain_Nucleus_accumbens_basal_ganglia"
"Brain - Putamen (basal ganglia)",170,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Putamen_basal_ganglia.tar.gz",153,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Putamen_basal_ganglia.tar.gz","Brain_Putamen_basal_ganglia"
"Brain - Spinal cord (cervical c-1)",126,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Spinal_cord_cervical_c-1.tar.gz",115,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Spinal_cord_cervical_c-1.tar.gz","Brain_Spinal_cord_cervical_c-1"
"Brain - Substantia nigra",114,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Substantia_nigra.tar.gz",100,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Substantia_nigra.tar.gz","Brain_Substantia_nigra"
"Breast - Mammary Tissue",396,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Breast_Mammary_Tissue.tar.gz",329,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Breast_Mammary_Tissue.tar.gz","Breast_Mammary_Tissue"
"Skin - Transformed fibroblasts",483,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Cells_Cultured_fibroblasts.tar.gz",403,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Cells_Cultured_fibroblasts.tar.gz","Cells_Cultured_fibroblasts"
"Blood - EBV-transformed lymphocytes",147,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Cells_EBV-transformed_lymphocytes.tar.gz",113,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Cells_EBV-transformed_lymphocytes.tar.gz","Cells_EBV-transformed_lymphocytes"
"Colon - Sigmoid",318,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Colon_Sigmoid.tar.gz",266,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Colon_Sigmoid.tar.gz","Colon_Sigmoid"
"Colon - Transverse",368,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Colon_Transverse.tar.gz",294,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Colon_Transverse.tar.gz","Colon_Transverse"
"Esophagus - Gastroesophageal Junction",330,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Esophagus_Gastroesophageal_Junction.tar.gz",275,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Esophagus_Gastroesophageal_Junction.tar.gz","Esophagus_Gastroesophageal_Junction"
